epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11599.2,1.43855,1.54114,1.47428,0.49943,0.40908,0.42576,0.22813,1.47118,1.49996,1.5739,0.00033032,0.00033032,0.00033032
43,11875.1,1.43382,1.54215,1.48221,0.48339,0.41025,0.41427,0.22432,1.47222,1.48556,1.57347,0.000324815,0.000324815,0.000324815
44,12150.4,1.4356,1.53061,1.47852,0.48242,0.42229,0.42336,0.22929,1.46661,1.47224,1.5772,0.000319311,0.000319311,0.000319311
45,12426.1,1.4356,1.52042,1.4743,0.49574,0.41864,0.42934,0.23179,1.47289,1.48244,1.56018,0.000313806,0.000313806,0.000313806
46,12701.7,1.42288,1.5075,1.46662,0.48359,0.43271,0.43845,0.23743,1.44062,1.45388,1.55212,0.000308302,0.000308302,0.000308302
47,12977,1.42427,1.4987,1.46302,0.50295,0.4249,0.43562,0.2371,1.45987,1.44556,1.56679,0.000302798,0.000302798,0.000302798
48,13252.6,1.42075,1.5091,1.46536,0.49151,0.41335,0.4218,0.22686,1.47928,1.4904,1.58964,0.000297293,0.000297293,0.000297293
49,13528.2,1.41386,1.48248,1.45445,0.50504,0.43078,0.44034,0.24111,1.45307,1.45321,1.56136,0.000291789,0.000291789,0.000291789
50,13804.1,1.41435,1.48439,1.46279,0.50995,0.43494,0.44965,0.24868,1.43912,1.42368,1.56458,0.000286284,0.000286284,0.000286284
51,14079.8,1.40438,1.48077,1.46057,0.51208,0.44964,0.46126,0.25508,1.42388,1.40761,1.53479,0.00028078,0.00028078,0.00028078
52,14355.5,1.41557,1.475,1.46252,0.52052,0.4499,0.46286,0.25781,1.42367,1.40171,1.54679,0.000275276,0.000275276,0.000275276
53,14630.7,1.40564,1.47023,1.45433,0.53299,0.45577,0.46868,0.25996,1.42301,1.3888,1.54733,0.000269771,0.000269771,0.000269771
54,14906.2,1.39429,1.46355,1.44294,0.51975,0.45181,0.46931,0.26256,1.40898,1.38337,1.53094,0.000264267,0.000264267,0.000264267
55,15181.6,1.39143,1.44312,1.44608,0.53305,0.44743,0.46687,0.25748,1.42797,1.39643,1.55323,0.000258762,0.000258762,0.000258762
56,15457,1.38825,1.44747,1.44776,0.53366,0.44904,0.47065,0.2619,1.41893,1.38902,1.54724,0.000253258,0.000253258,0.000253258
57,15732.6,1.38777,1.44753,1.44468,0.55096,0.46087,0.48896,0.27732,1.40226,1.35826,1.52245,0.000247754,0.000247754,0.000247754
58,16008.5,1.38069,1.42486,1.43568,0.54892,0.4638,0.48867,0.27754,1.38942,1.33787,1.51158,0.000242249,0.000242249,0.000242249
59,16284.1,1.38518,1.42512,1.44286,0.54885,0.46135,0.49142,0.28226,1.38549,1.34146,1.51741,0.000236745,0.000236745,0.000236745
60,16559.6,1.37944,1.43062,1.44093,0.55875,0.46241,0.49421,0.28504,1.37858,1.32256,1.50755,0.00023124,0.00023124,0.00023124
61,16835.5,1.35855,1.38978,1.42642,0.55238,0.46373,0.49477,0.28185,1.38658,1.34215,1.52215,0.000225736,0.000225736,0.000225736
62,17111.2,1.36302,1.40566,1.42983,0.55951,0.47413,0.50139,0.28956,1.37515,1.3203,1.50506,0.000220232,0.000220232,0.000220232
63,17386.7,1.35943,1.38761,1.41941,0.57987,0.47816,0.51464,0.30072,1.36443,1.29126,1.49197,0.000214727,0.000214727,0.000214727
64,17662.4,1.35633,1.38849,1.42439,0.57897,0.47129,0.51107,0.29418,1.3647,1.3005,1.4979,0.000209223,0.000209223,0.000209223
65,17938.2,1.34213,1.36187,1.40908,0.5848,0.4812,0.52173,0.30535,1.34429,1.26786,1.48365,0.000203718,0.000203718,0.000203718
66,18214,1.34319,1.36872,1.41094,0.59343,0.48907,0.53304,0.31062,1.3472,1.26596,1.48683,0.000198214,0.000198214,0.000198214
67,18489.5,1.33969,1.35686,1.40293,0.58702,0.49291,0.5331,0.31487,1.33344,1.25691,1.4728,0.00019271,0.00019271,0.00019271
68,18765.7,1.34019,1.34941,1.41067,0.59464,0.48,0.52358,0.30848,1.34489,1.26421,1.48823,0.000187205,0.000187205,0.000187205
69,19041.3,1.32975,1.34186,1.39919,0.59639,0.49153,0.53555,0.3198,1.3306,1.24147,1.47428,0.000181701,0.000181701,0.000181701
70,19317.6,1.33269,1.33218,1.40949,0.60657,0.4909,0.54103,0.32131,1.31544,1.23197,1.46509,0.000176196,0.000176196,0.000176196
71,19593.6,1.32093,1.32252,1.4011,0.59547,0.50203,0.54215,0.32559,1.3111,1.22428,1.46319,0.000170692,0.000170692,0.000170692
72,19869.3,1.31806,1.33103,1.39854,0.60398,0.50243,0.54562,0.32911,1.31044,1.21481,1.45816,0.000165188,0.000165188,0.000165188
73,20145.1,1.31286,1.31552,1.38908,0.62157,0.50129,0.55799,0.3388,1.29799,1.20577,1.45092,0.000159683,0.000159683,0.000159683
74,20420.7,1.31102,1.31902,1.39627,0.6138,0.51174,0.56218,0.33848,1.30243,1.19981,1.44625,0.000154179,0.000154179,0.000154179
75,20696.4,1.3068,1.30602,1.38117,0.62128,0.51383,0.56408,0.34089,1.29729,1.19356,1.44823,0.000148674,0.000148674,0.000148674
76,20972,1.29932,1.28797,1.38449,0.6377,0.50854,0.57082,0.35018,1.2826,1.17463,1.44039,0.00014317,0.00014317,0.00014317
77,21247.6,1.29794,1.28917,1.38288,0.63398,0.51245,0.57469,0.3518,1.27802,1.16652,1.44048,0.000137666,0.000137666,0.000137666
78,21523.2,1.29153,1.28318,1.38118,0.64313,0.50948,0.5753,0.35478,1.2731,1.1637,1.43312,0.000132161,0.000132161,0.000132161
79,21798.8,1.2859,1.27304,1.3779,0.6307,0.52488,0.58305,0.35983,1.26629,1.14657,1.43147,0.000126657,0.000126657,0.000126657
80,22074.5,1.28141,1.26291,1.37243,0.63686,0.5192,0.58497,0.3633,1.25753,1.13582,1.42248,0.000121152,0.000121152,0.000121152
81,22349.7,1.28549,1.26567,1.37411,0.64084,0.52413,0.58985,0.36712,1.25245,1.12982,1.41929,0.000115648,0.000115648,0.000115648
82,22625.2,1.28024,1.26418,1.37198,0.65064,0.52257,0.59538,0.37111,1.25093,1.12366,1.4182,0.000110144,0.000110144,0.000110144
83,22900.6,1.27039,1.24383,1.36355,0.65376,0.53087,0.59829,0.37593,1.23914,1.11019,1.4115,0.000104639,0.000104639,0.000104639
84,23176.2,1.26063,1.22392,1.35709,0.6439,0.53378,0.59921,0.37615,1.24238,1.10975,1.41231,9.91348e-05,9.91348e-05,9.91348e-05
85,23451.6,1.25855,1.21147,1.35505,0.66236,0.53387,0.6014,0.38013,1.23616,1.0995,1.41143,9.36304e-05,9.36304e-05,9.36304e-05
86,23727.2,1.25623,1.22586,1.35965,0.66299,0.53564,0.60605,0.38162,1.23233,1.09756,1.40665,8.8126e-05,8.8126e-05,8.8126e-05
87,24003.4,1.251,1.21305,1.36031,0.68077,0.53391,0.60996,0.38779,1.22365,1.08389,1.40154,8.26216e-05,8.26216e-05,8.26216e-05
88,24279.6,1.24868,1.21827,1.35956,0.66708,0.5382,0.61255,0.39035,1.21906,1.07606,1.39751,7.71172e-05,7.71172e-05,7.71172e-05
89,24556.3,1.24298,1.20283,1.35517,0.67393,0.54443,0.61757,0.39491,1.2132,1.07036,1.39279,7.16128e-05,7.16128e-05,7.16128e-05
90,24833.6,1.23738,1.19422,1.34745,0.67055,0.54901,0.61601,0.39159,1.21452,1.07659,1.39573,6.61084e-05,6.61084e-05,6.61084e-05
91,25110.6,1.23428,1.13369,1.41805,0.68426,0.54324,0.61956,0.39729,1.20669,1.06687,1.39089,6.0604e-05,6.0604e-05,6.0604e-05
92,25386.2,1.21983,1.11092,1.40643,0.6908,0.54854,0.62616,0.4059,1.19608,1.05151,1.38424,5.50996e-05,5.50996e-05,5.50996e-05
93,25661.6,1.21523,1.09829,1.40231,0.69769,0.54689,0.62831,0.40651,1.19472,1.04546,1.38255,4.95952e-05,4.95952e-05,4.95952e-05
94,25937.1,1.20393,1.08987,1.39827,0.70195,0.54787,0.6301,0.4092,1.18542,1.03479,1.37658,4.40908e-05,4.40908e-05,4.40908e-05
95,26211.9,1.20023,1.07363,1.38915,0.70082,0.55214,0.63489,0.41481,1.17863,1.02511,1.37152,3.85864e-05,3.85864e-05,3.85864e-05
96,26487.2,1.19405,1.06774,1.38799,0.71013,0.55063,0.63775,0.41757,1.17259,1.01819,1.36837,3.3082e-05,3.3082e-05,3.3082e-05
97,26762.1,1.19039,1.06603,1.38783,0.69748,0.56053,0.63781,0.41818,1.17229,1.01696,1.36823,2.75776e-05,2.75776e-05,2.75776e-05
98,27037.1,1.18713,1.05602,1.38128,0.70183,0.55869,0.63934,0.42023,1.16774,1.01041,1.36499,2.20732e-05,2.20732e-05,2.20732e-05
99,27312,1.17926,1.04871,1.37899,0.7101,0.56161,0.644,0.42411,1.1609,1.00237,1.3608,1.65688e-05,1.65688e-05,1.65688e-05
100,27587.3,1.17705,1.0432,1.37519,0.71366,0.56039,0.64463,0.42471,1.16018,1.00292,1.36012,1.10644e-05,1.10644e-05,1.10644e-05
