epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,619.954,1.3828,1.54142,1.60087,0.55822,0.46891,0.49864,0.28241,1.37214,1.38927,1.65502,0.000203718,0.000203718,0.000203718
66,1230.91,1.36765,1.48968,1.574,0.57743,0.48651,0.52671,0.30368,1.33924,1.32948,1.61952,0.000198214,0.000198214,0.000198214
67,1841.49,1.35721,1.46521,1.55682,0.57306,0.49329,0.5297,0.30588,1.33786,1.33109,1.61628,0.00019271,0.00019271,0.00019271
68,2452.73,1.3539,1.46358,1.55588,0.57584,0.49617,0.53753,0.31485,1.33448,1.31826,1.61452,0.000187205,0.000187205,0.000187205
69,3064.26,1.34379,1.45507,1.5459,0.57029,0.49494,0.52535,0.30787,1.33686,1.32012,1.62002,0.000181701,0.000181701,0.000181701
70,3673.28,1.33722,1.43012,1.53536,0.59628,0.49279,0.5396,0.31902,1.31331,1.28883,1.60254,0.000176196,0.000176196,0.000176196
71,4281.65,1.3323,1.42636,1.53951,0.58932,0.50197,0.5408,0.31891,1.32218,1.29317,1.60775,0.000170692,0.000170692,0.000170692
72,4890.44,1.33051,1.41598,1.5361,0.58457,0.51441,0.5472,0.32234,1.31026,1.27338,1.59859,0.000165188,0.000165188,0.000165188
73,5499.04,1.32204,1.40748,1.52634,0.59503,0.5122,0.55564,0.33093,1.30172,1.26217,1.58967,0.000159683,0.000159683,0.000159683
74,6107.44,1.31692,1.39837,1.52742,0.59656,0.51085,0.5554,0.32992,1.30236,1.25282,1.5933,0.000154179,0.000154179,0.000154179
75,6715.9,1.3184,1.39185,1.52632,0.59802,0.52337,0.56269,0.33592,1.29619,1.24522,1.58899,0.000148674,0.000148674,0.000148674
76,7324.44,1.30033,1.36549,1.51585,0.60622,0.52571,0.56856,0.34101,1.2821,1.22923,1.57617,0.00014317,0.00014317,0.00014317
77,7933.45,1.30036,1.37129,1.52302,0.61434,0.52745,0.57243,0.34594,1.27296,1.21891,1.5712,0.000137666,0.000137666,0.000137666
78,8542.12,1.29294,1.34748,1.50969,0.62069,0.52802,0.57644,0.3487,1.27357,1.21331,1.566,0.000132161,0.000132161,0.000132161
79,9150.73,1.28352,1.35222,1.50336,0.62598,0.53228,0.58704,0.3578,1.26382,1.19296,1.55779,0.000126657,0.000126657,0.000126657
80,9759.23,1.28572,1.3346,1.50406,0.63172,0.53014,0.58895,0.35959,1.25591,1.18763,1.55803,0.000121152,0.000121152,0.000121152
81,10367.5,1.27953,1.31771,1.50276,0.64163,0.5291,0.59848,0.36701,1.2513,1.17554,1.55214,0.000115648,0.000115648,0.000115648
82,10975.7,1.27417,1.32265,1.49389,0.62785,0.54376,0.59759,0.36866,1.24648,1.17234,1.54657,0.000110144,0.000110144,0.000110144
83,11583.6,1.25734,1.30705,1.48523,0.63304,0.54117,0.60048,0.37042,1.24099,1.16365,1.53903,0.000104639,0.000104639,0.000104639
84,12191.9,1.25699,1.29897,1.48688,0.65187,0.54017,0.60534,0.37609,1.23626,1.15231,1.53628,9.91348e-05,9.91348e-05,9.91348e-05
