epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,761.567,1.28865,5.14293,1.96626,0.87144,0.69785,0.79372,0.5134,1.29753,4.58188,1.96386,3.55153e-05,3.55153e-05,3.55153e-05
113,1521.84,1.28514,5.15223,1.95981,0.86751,0.69906,0.79498,0.51573,1.29393,4.57186,1.96049,3.12254e-05,3.12254e-05,3.12254e-05
114,2282.32,1.29076,5.14949,1.96287,0.87255,0.69649,0.79495,0.51627,1.29464,4.56859,1.96139,2.74332e-05,2.74332e-05,2.74332e-05
115,3043.6,1.28788,5.16062,1.95922,0.87292,0.69882,0.7964,0.51796,1.29266,4.56347,1.9593,2.41414e-05,2.41414e-05,2.41414e-05
116,3806.03,1.28622,5.17571,1.9559,0.87469,0.69654,0.7956,0.51683,1.29368,4.56704,1.96001,2.13522e-05,2.13522e-05,2.13522e-05
117,4566.89,1.28007,5.13532,1.95272,0.87264,0.697,0.79429,0.51695,1.29134,4.56035,1.958,1.90675e-05,1.90675e-05,1.90675e-05
118,5327.35,1.28389,5.14619,1.95488,0.87493,0.69736,0.79543,0.51768,1.28904,4.55031,1.95529,1.72889e-05,1.72889e-05,1.72889e-05
119,6088.28,1.28267,5.10419,1.95495,0.87436,0.69858,0.79592,0.51801,1.28929,4.54936,1.95593,1.60176e-05,1.60176e-05,1.60176e-05
120,6849.93,1.2779,5.08496,1.95134,0.87111,0.6995,0.79622,0.518,1.28863,4.54979,1.95469,1.52544e-05,1.52544e-05,1.52544e-05
